,abv,ibu,name,style,brewery_id,ounces
1401,0.047,14,Honey Wheat,American Pale Wheat Ale,326,12
1402,0.046,24,Black Bear Dark Lager,Schwarzbier,326,12
1403,0.05,35,Golden Pilsner,German Pilsener,326,12
1404,0.052,21,Cali Creamin',Cream Ale,111,12
1407,0.052,21,Towhead,American Blonde Ale,188,12
1408,0.07,70,Lil' Helper,American IPA,188,12
1418,0.053,10,Mustang Golden Ale,American Blonde Ale,366,12
1419,0.053,14,Washita Wheat,American Pale Wheat Ale,366,12
1420,0.037,10,Gansett Light,Light Lager,143,16
1421,0.052,30,Bohemian Pils,American Pilsner,143,16
1422,0.053,30,Autocrat Coffee Milk Stout,Milk / Sweet Stout,143,16
1423,0.086,35,Narragansett Bohemian Pilsner,German Pilsener,143,16
1424,0.042,24,Narragansett Summer Ale,American Pale Wheat Ale,143,12
1425,0.05,22,Narragansett Cream Ale,Cream Ale,143,16
1426,0.042,24,Narragansett Summer Ale,American Pale Wheat Ale,143,16
1427,0.07,22,Narragansett Porter,American Porter,143,16
1428,0.065,32,Narragansett Bock,Bock,143,16
1429,0.055,15,Narragansett Fest Lager,MArzen / Oktoberfest,143,16
1432,0.085,86,Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,387,16
1433,0.085,86,Old Grogham Imperial India Pale Ale (2012),American Double / Imperial IPA,387,16
1436,0.061,11,Wick For Brains,Pumpkin Ale,337,12
1437,0.065,65,Nebraska India Pale Ale,American IPA,337,12
1438,0.048,10,EOS Hefeweizen,Hefeweizen,337,12
1439,0.048,15,Brunette Nut Brown Ale,English Brown Ale,337,12
1440,0.057,29,Cardinal Pale Ale,American Pale Ale (APA),337,12
1443,0.045,40,Slow Ride,American IPA,82,12
1444,0.065,70,Ranger IPA,American IPA,82,12
1445,0.05,29,Shift,American Pale Lager,82,12
1446,0.056,21,1554 Black Lager,Euro Dark Lager,82,12
1451,0.052,18,Fat Tire Amber Ale,American Amber / Red Ale,82,12
1452,0.05,29,Shift (1),American Pale Lager,82,12
1453,0.052,18,Fat Tire Amber Ale (2011),American Amber / Red Ale,82,12
1454,0.05,29,Shift,American Pale Lager,82,16
1455,0.065,70,Ranger IPA,American IPA,82,16
1456,0.052,18,Fat Tire Amber Ale,American Amber / Red Ale,82,16
1457,0.065,70,Ranger IPA (Current),American IPA,82,12
1459,0.052,18,Fat Tire Amber Ale (2008),American Amber / Red Ale,82,12
1460,0.034,6,Weiss Trash Culture,Berliner Weissbier,410,12
1465,0.088,85,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,410,12
1467,0.088,85,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,410,16
1477,0.056,20,Skylight,Dunkelweizen,241,12
1478,0.056,30,Kadigan,American Blonde Ale,241,12
1479,0.052,50,Dammit Jim!,American Amber / Red Ale,241,12
1482,0.042,35,Cream Ale,Cream Ale,238,12
1487,0.051,31,Jam Session,American Pale Ale (APA),359,16
1488,0.072,80,Hop Drop 'N Roll IPA,American IPA,359,16
1493,0.045,50,Get Together,American IPA,0,16
1494,0.049,26,Maggie's Leap,Milk / Sweet Stout,0,16
